task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
224	fa/a40a91	33306991	kraken_pipeline:run_bracken (67)	COMPLETED	0	2024-04-16 14:34:40.245	4m 5s	37.3s	96.9%	424.8 MB	4.4 GB	485 MB	3 MB
225	fa/d2c60f	33306992	kraken_pipeline:run_bracken (68)	COMPLETED	0	2024-04-16 14:34:45.183	4m	37.9s	95.9%	763.6 MB	4.4 GB	484.8 MB	2.8 MB
226	6b/eb5aec	33306993	kraken_pipeline:run_bracken (69)	COMPLETED	0	2024-04-16 14:34:50.259	3m 55s	37.9s	95.2%	759.8 MB	4.4 GB	486.3 MB	4.3 MB
227	94/e06da4	33306994	kraken_pipeline:run_bracken (70)	COMPLETED	0	2024-04-16 14:34:50.358	3m 55s	37.2s	98.0%	425.9 MB	4.4 GB	486.3 MB	4.3 MB
228	9c/561467	33306995	kraken_pipeline:run_bracken (71)	COMPLETED	0	2024-04-16 14:34:50.448	3m 55s	37.1s	98.0%	424.2 MB	4.4 GB	485.8 MB	3.7 MB
229	1f/deb8cc	33306996	kraken_pipeline:run_bracken (72)	COMPLETED	0	2024-04-16 14:34:50.551	3m 55s	37.1s	97.2%	424 MB	4.4 GB	486.1 MB	4 MB
230	3b/e7b3cb	33306997	kraken_pipeline:run_bracken (73)	COMPLETED	0	2024-04-16 14:35:15.192	3m 30s	37.2s	97.1%	429.5 MB	4.4 GB	486 MB	4 MB
206	27/00d276	33306973	kraken_pipeline:run_bracken (49)	COMPLETED	0	2024-04-16 14:34:10.338	4m 40s	40.5s	87.5%	426.3 MB	4.4 GB	482.7 MB	750.4 KB
201	e2/fb7181	33306970	kraken_pipeline:run_bracken (44)	COMPLETED	0	2024-04-16 14:34:05.856	4m 54s	53.1s	67.9%	740.6 MB	4.4 GB	482.5 MB	522.8 KB
204	b5/9a9d7b	33306971	kraken_pipeline:run_bracken (47)	COMPLETED	0	2024-04-16 14:34:05.925	4m 54s	52.8s	65.5%	766.9 MB	4.4 GB	482.3 MB	369.7 KB
207	25/eea7ac	33306974	kraken_pipeline:run_bracken (50)	COMPLETED	0	2024-04-16 14:34:10.435	4m 50s	51.5s	70.9%	425 MB	4.4 GB	482.5 MB	533.8 KB
231	c6/cf3786	33306998	kraken_pipeline:run_bracken (74)	COMPLETED	0	2024-04-16 14:35:30.164	3m 30s	53.2s	67.9%	749.5 MB	4.4 GB	486.4 MB	4.3 MB
205	cc/df8036	33306972	kraken_pipeline:run_bracken (48)	COMPLETED	0	2024-04-16 14:34:10.237	4m 55s	58s	61.2%	442 MB	4.4 GB	483.6 MB	1.6 MB
232	7a/a79b12	33307000	kraken_pipeline:run_bracken (75)	COMPLETED	0	2024-04-16 14:35:45.214	3m 20s	54.6s	66.7%	726.4 MB	4.4 GB	486.6 MB	4.5 MB
210	72/20bcd4	33306977	kraken_pipeline:run_bracken (53)	COMPLETED	0	2024-04-16 14:34:10.688	4m 59s	1m 1s	59.8%	428.3 MB	4.4 GB	482.6 MB	649.8 KB
233	49/f76e85	33307067	kraken_pipeline:createAbundanceTables	COMPLETED	0	2024-04-16 14:39:10.239	1m 25s	27.6s	78.9%	574.2 MB	4.6 GB	63.6 MB	3.1 MB
235	3f/b18c8b	33307071	kraken_pipeline:output (3)	COMPLETED	0	2024-04-16 14:40:35.321	1m 35s	4ms	19.4%	0	0	79.1 KB	268 B
234	4e/16d117	33307072	kraken_pipeline:makeReport (1)	COMPLETED	0	2024-04-16 14:40:35.421	12m 5s	10m 27s	72.3%	4.6 GB	8.7 GB	947.4 MB	157.8 MB
236	58/5dac85	33307121	kraken_pipeline:output (4)	COMPLETED	0	2024-04-16 14:52:40.226	1m 35s	4ms	13.0%	0	0	79.1 KB	268 B
