task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
87	07/f0c27e	33306821	kraken_pipeline:run_kraken2 (5)	COMPLETED	0	2024-04-16 14:30:21.850	1m 43s	3.5s	86.7%	236.4 MB	255.9 MB	100 MB	22.8 MB
88	2a/3634d5	33306822	kraken_pipeline:run_kraken2 (6)	COMPLETED	0	2024-04-16 14:30:21.937	1m 43s	2.4s	68.7%	193 MB	223.4 MB	63.3 MB	9.7 MB
89	38/20fcc0	33306823	kraken_pipeline:run_kraken2 (7)	COMPLETED	0	2024-04-16 14:30:22.011	1m 43s	1.1s	30.3%	139.3 MB	200.2 MB	25.4 MB	847 KB
90	b4/e24d11	33306824	kraken_pipeline:run_kraken2 (8)	COMPLETED	0	2024-04-16 14:30:22.083	1m 43s	3.3s	49.4%	210 MB	242.1 MB	61.9 MB	9 MB
91	82/9a2845	33306825	kraken_pipeline:run_kraken2 (9)	COMPLETED	0	2024-04-16 14:30:22.192	1m 43s	5s	70.4%	212 MB	238.1 MB	126.4 MB	20.3 MB
92	15/3cec6b	33306826	kraken_pipeline:run_kraken2 (10)	COMPLETED	0	2024-04-16 14:30:22.291	1m 43s	4.8s	75.6%	245.4 MB	260.9 MB	113.1 MB	26.7 MB
94	4d/139007	33306827	kraken_pipeline:run_kraken2 (12)	COMPLETED	0	2024-04-16 14:30:22.367	1m 43s	2.5s	55.1%	183.9 MB	212.8 MB	56 MB	7.5 MB
93	51/208a19	33306828	kraken_pipeline:run_kraken2 (11)	COMPLETED	0	2024-04-16 14:30:22.442	1m 43s	3.4s	88.6%	200.8 MB	226.7 MB	102.1 MB	24.1 MB
95	ac/23fc74	33306829	kraken_pipeline:run_kraken2 (13)	COMPLETED	0	2024-04-16 14:30:22.525	1m 43s	3s	71.3%	186.4 MB	214.7 MB	78 MB	12.8 MB
96	43/03e817	33306830	kraken_pipeline:run_kraken2 (14)	COMPLETED	0	2024-04-16 14:30:22.609	1m 43s	5.1s	95.9%	192.9 MB	219.7 MB	175.1 MB	27.2 MB
97	da/940659	33306832	kraken_pipeline:run_kraken2 (15)	COMPLETED	0	2024-04-16 14:30:22.748	1m 43s	3.8s	111.0%	150.2 MB	181.2 MB	150.8 MB	25.1 MB
99	f5/3aed54	33306833	kraken_pipeline:run_kraken2 (17)	COMPLETED	0	2024-04-16 14:30:22.829	1m 43s	4.7s	121.4%	230.7 MB	240.3 MB	178.8 MB	41.9 MB
121	b1/7cca04	33306854	kraken_pipeline:run_kraken2 (39)	COMPLETED	0	2024-04-16 14:30:30.612	1m 35s	1.5s	60.2%	145 MB	181.4 MB	41.7 MB	4.3 MB
98	85/dc45bb	33306831	kraken_pipeline:run_kraken2 (16)	COMPLETED	0	2024-04-16 14:30:22.679	1m 47s	9.6s	85.6%	312.5 MB	379.1 MB	231.1 MB	44.2 MB
100	81/f307ba	33306834	kraken_pipeline:run_kraken2 (18)	COMPLETED	0	2024-04-16 14:30:22.917	1m 47s	8.9s	134.4%	221.4 MB	243.6 MB	430.9 MB	65.4 MB
102	ca/1ead84	33306836	kraken_pipeline:run_kraken2 (20)	COMPLETED	0	2024-04-16 14:30:23.055	1m 47s	10s	131.1%	351.5 MB	408.9 MB	318.7 MB	73.3 MB
103	89/560d50	33306837	kraken_pipeline:run_kraken2 (21)	COMPLETED	0	2024-04-16 14:30:23.143	1m 47s	8s	131.8%	215 MB	242.2 MB	371.9 MB	61.6 MB
107	b8/cd1fe6	33306841	kraken_pipeline:run_kraken2 (25)	COMPLETED	0	2024-04-16 14:30:23.471	1m 47s	6.9s	133.6%	201.2 MB	228.5 MB	301.1 MB	58.8 MB
101	29/320a0d	33306835	kraken_pipeline:run_kraken2 (19)	COMPLETED	0	2024-04-16 14:30:22.985	1m 52s	15.2s	135.5%	233.5 MB	342.9 MB	542.5 MB	146.7 MB
105	f0/428a0a	33306839	kraken_pipeline:run_kraken2 (23)	COMPLETED	0	2024-04-16 14:30:23.300	1m 52s	14.3s	144.1%	197.5 MB	336.2 MB	619.4 MB	165.2 MB
106	18/fb9cf9	33306840	kraken_pipeline:run_kraken2 (24)	COMPLETED	0	2024-04-16 14:30:23.393	1m 52s	11.8s	125.9%	196.6 MB	229.9 MB	527.3 MB	88.3 MB
104	a3/7ba89b	33306838	kraken_pipeline:run_kraken2 (22)	COMPLETED	0	2024-04-16 14:30:23.218	2m 2s	22.9s	109.2%	401.2 MB	444.9 MB	636.4 MB	164.7 MB
109	d6/a0d2e1	33306843	kraken_pipeline:run_kraken2 (27)	COMPLETED	0	2024-04-16 14:30:23.665	2m 1s	22.9s	141.6%	403.8 MB	418.7 MB	720.3 MB	190.2 MB
110	91/1fec52	33306844	kraken_pipeline:run_kraken2 (28)	COMPLETED	0	2024-04-16 14:30:23.755	2m 1s	24.9s	140.2%	291.9 MB	353 MB	812.2 MB	215.2 MB
114	fe/3266a4	33306847	kraken_pipeline:run_kraken2 (32)	COMPLETED	0	2024-04-16 14:30:23.995	2m 1s	22.1s	139.4%	409.5 MB	435.8 MB	689.1 MB	184.3 MB
108	11/255333	33306842	kraken_pipeline:run_kraken2 (26)	COMPLETED	0	2024-04-16 14:30:23.574	2m 6s	26.8s	109.8%	443.3 MB	464.7 MB	743 MB	194.5 MB
111	c9/d1ef00	33306845	kraken_pipeline:run_kraken2 (29)	COMPLETED	0	2024-04-16 14:30:23.835	2m 11s	34.3s	117.5%	411.2 MB	435.9 MB	913.9 MB	232.5 MB
112	44/b9d8d2	33306846	kraken_pipeline:run_kraken2 (30)	COMPLETED	0	2024-04-16 14:30:23.915	2m 11s	31.7s	142.8%	387.2 MB	423.8 MB	1.1 GB	317.3 MB
113	a5/58b258	33306848	kraken_pipeline:run_kraken2 (31)	COMPLETED	0	2024-04-16 14:30:24.071	2m 16s	40.4s	139.5%	314.4 MB	343.2 MB	1.4 GB	370.1 MB
116	84/87dab8	33306851	kraken_pipeline:run_kraken2 (34)	COMPLETED	0	2024-04-16 14:30:27.339	2m 18s	42.8s	147.0%	421 MB	441.1 MB	1.6 GB	409.6 MB
115	94/8db711	33306849	kraken_pipeline:run_kraken2 (33)	COMPLETED	0	2024-04-16 14:30:25.152	2m 25s	48.5s	126.4%	425.8 MB	453.4 MB	1.6 GB	423.7 MB
117	f8/d59cb8	33306850	kraken_pipeline:run_kraken2 (35)	COMPLETED	0	2024-04-16 14:30:26.234	2m 24s	48.6s	141.0%	441.7 MB	456.9 MB	1.7 GB	456.2 MB
118	2e/906cc7	33306853	kraken_pipeline:run_kraken2 (36)	COMPLETED	0	2024-04-16 14:30:29.499	2m 21s	49.2s	149.2%	420.4 MB	480.6 MB	1.7 GB	407.8 MB
119	29/e1b42c	33306852	kraken_pipeline:run_kraken2 (37)	COMPLETED	0	2024-04-16 14:30:28.415	2m 37s	1m 6s	150.9%	332.2 MB	470.1 MB	2.5 GB	683.7 MB
120	9e/285563	33306855	kraken_pipeline:run_kraken2 (38)	COMPLETED	0	2024-04-16 14:30:31.701	3m 33s	1.6s	64.6%	149.9 MB	180.5 MB	45.7 MB	5.2 MB
123	0e/d3c7f0	33306856	kraken_pipeline:run_kraken2 (41)	COMPLETED	0	2024-04-16 14:30:32.785	3m 32s	3.2s	16.8%	145.5 MB	181.5 MB	29.2 MB	2 MB
122	c6/379230	33306857	kraken_pipeline:run_kraken2 (40)	COMPLETED	0	2024-04-16 14:30:33.892	3m 31s	3.1s	45.9%	144.1 MB	178.6 MB	58.6 MB	8 MB
125	ea/818d63	33306858	kraken_pipeline:run_kraken2 (43)	COMPLETED	0	2024-04-16 14:30:34.979	3m 30s	2.5s	38.5%	172.1 MB	208.5 MB	44.2 MB	4.7 MB
124	65/e21dd8	33306859	kraken_pipeline:run_kraken2 (42)	COMPLETED	0	2024-04-16 14:30:35.053	3m 30s	1.4s	35.4%	123.5 MB	169.2 MB	31 MB	2 MB
126	d4/0c964a	33306860	kraken_pipeline:run_kraken2 (44)	COMPLETED	0	2024-04-16 14:30:36.142	3m 29s	1.5s	53.0%	159.1 MB	193.2 MB	36.7 MB	3.4 MB
127	21/ec879c	33306861	kraken_pipeline:run_kraken2 (45)	COMPLETED	0	2024-04-16 14:30:37.238	3m 28s	3.1s	17.5%	118.6 MB	163.2 MB	32.3 MB	2.3 MB
128	c5/36f601	33306862	kraken_pipeline:run_kraken2 (46)	COMPLETED	0	2024-04-16 14:30:38.327	3m 27s	2s	57.4%	147.3 MB	182.4 MB	49.3 MB	6.2 MB
129	1c/0f6d95	33306863	kraken_pipeline:run_kraken2 (47)	COMPLETED	0	2024-04-16 14:30:39.413	3m 26s	2.4s	37.7%	166.4 MB	205.6 MB	41.8 MB	4.3 MB
130	6b/f53fd4	33306864	kraken_pipeline:run_kraken2 (48)	COMPLETED	0	2024-04-16 14:30:40.494	3m 30s	5.9s	59.0%	341.1 MB	400.3 MB	92.7 MB	19.1 MB
131	2d/408171	33306865	kraken_pipeline:run_kraken2 (49)	COMPLETED	0	2024-04-16 14:30:41.583	3m 28s	6.8s	123.6%	267.2 MB	326.9 MB	248.3 MB	62.7 MB
132	a5/431e9d	33306867	kraken_pipeline:run_kraken2 (50)	COMPLETED	0	2024-04-16 14:30:43.754	3m 26s	5.8s	129.1%	202.4 MB	218.1 MB	225.5 MB	55.9 MB
135	71/b3f48d	33306868	kraken_pipeline:run_kraken2 (53)	COMPLETED	0	2024-04-16 14:30:44.836	3m 25s	5.4s	113.0%	167.5 MB	195.1 MB	197.7 MB	36.8 MB
134	fc/b06001	33306869	kraken_pipeline:run_kraken2 (52)	COMPLETED	0	2024-04-16 14:30:45.913	3m 24s	4.7s	110.1%	228.9 MB	248.6 MB	172.3 MB	29 MB
136	69/f20b80	33306871	kraken_pipeline:run_kraken2 (54)	COMPLETED	0	2024-04-16 14:30:47.061	3m 23s	8.2s	109.6%	242.6 MB	257.6 MB	266.4 MB	72.7 MB
139	fc/2d3820	33306873	kraken_pipeline:run_kraken2 (57)	COMPLETED	0	2024-04-16 14:30:52.235	3m 18s	5.8s	116.3%	215.6 MB	233.6 MB	227.8 MB	43.5 MB
133	29/99398f	33306866	kraken_pipeline:run_kraken2 (51)	COMPLETED	0	2024-04-16 14:30:42.675	3m 32s	11.3s	70.5%	361.3 MB	413.9 MB	214.1 MB	44.3 MB
138	0a/ebb6be	33306872	kraken_pipeline:run_kraken2 (56)	COMPLETED	0	2024-04-16 14:30:51.148	3m 24s	8.8s	123.1%	294.3 MB	363.6 MB	360.8 MB	66.7 MB
140	02/96e15e	33306875	kraken_pipeline:run_kraken2 (58)	COMPLETED	0	2024-04-16 14:30:54.403	3m 21s	11.8s	126.7%	330.9 MB	391.2 MB	397.5 MB	103.2 MB
142	3c/db2a18	33306877	kraken_pipeline:run_kraken2 (60)	COMPLETED	0	2024-04-16 14:30:56.596	3m 19s	14.1s	127.4%	136.6 MB	177 MB	686.3 MB	112.5 MB
146	be/06c6ab	33306880	kraken_pipeline:run_kraken2 (64)	COMPLETED	0	2024-04-16 14:30:59.857	3m 15s	12.4s	137.3%	138.4 MB	175.5 MB	646.5 MB	109.1 MB
149	85/b84b26	33306882	kraken_pipeline:run_kraken2 (67)	COMPLETED	0	2024-04-16 14:31:01.025	3m 14s	12.3s	120.4%	155.5 MB	187 MB	572.9 MB	92.6 MB
144	8c/0d27af	33306878	kraken_pipeline:run_kraken2 (62)	COMPLETED	0	2024-04-16 14:30:57.676	3m 22s	14.9s	115.2%	187 MB	204 MB	554.4 MB	97.5 MB
141	91/0e5799	33306874	kraken_pipeline:run_kraken2 (59)	COMPLETED	0	2024-04-16 14:30:53.312	3m 32s	20.6s	134.4%	246.3 MB	344.9 MB	719.9 MB	192.8 MB
143	91/73fce6	33306876	kraken_pipeline:run_kraken2 (61)	COMPLETED	0	2024-04-16 14:30:55.488	3m 30s	23.8s	129.6%	393 MB	423.7 MB	695.9 MB	178.5 MB
145	26/f26869	33306879	kraken_pipeline:run_kraken2 (63)	COMPLETED	0	2024-04-16 14:30:58.780	3m 26s	22.6s	138.5%	335.1 MB	379.7 MB	809.6 MB	227.2 MB
148	dd/0defe9	33306883	kraken_pipeline:run_kraken2 (66)	COMPLETED	0	2024-04-16 14:31:02.113	3m 28s	24.5s	127.6%	360.8 MB	399.4 MB	814.2 MB	211.7 MB
147	58/a5b9f9	33306881	kraken_pipeline:run_kraken2 (65)	COMPLETED	0	2024-04-16 14:31:00.947	3m 34s	30.6s	99.9%	414.4 MB	443.3 MB	774.6 MB	199.3 MB
150	6b/8f113a	33306884	kraken_pipeline:run_kraken2 (68)	COMPLETED	0	2024-04-16 14:31:03.237	3m 37s	33.7s	141.6%	285.3 MB	365.8 MB	1.2 GB	330.3 MB
158	e4/492d83	33306898	kraken_pipeline:run_bracken (1)	COMPLETED	0	2024-04-16 14:32:05.455	2m 35s	38.1s	95.2%	675.3 MB	4.4 GB	482.4 MB	446.9 KB
159	7a/cc2552	33306899	kraken_pipeline:run_bracken (2)	COMPLETED	0	2024-04-16 14:32:05.559	2m 35s	37.5s	95.8%	731.6 MB	4.4 GB	482.4 MB	488.8 KB
160	d2/710f4b	33306900	kraken_pipeline:run_bracken (3)	COMPLETED	0	2024-04-16 14:32:05.653	2m 35s	37.4s	96.1%	755.2 MB	4.4 GB	482.3 MB	343.8 KB
153	28/417127	33306887	kraken_pipeline:run_kraken2 (71)	COMPLETED	0	2024-04-16 14:31:06.511	3m 39s	39.6s	145.8%	297.3 MB	353.4 MB	1.4 GB	406.9 MB
151	1d/23472d	33306885	kraken_pipeline:run_kraken2 (69)	COMPLETED	0	2024-04-16 14:31:04.319	3m 46s	45.3s	145.2%	356.8 MB	481.3 MB	1.4 GB	369.8 MB
155	c9/3b50c0	33306891	kraken_pipeline:run_kraken2 (73)	COMPLETED	0	2024-04-16 14:31:25.187	3m 25s	45.7s	144.7%	363.1 MB	496.1 MB	1.5 GB	358.3 MB
156	5a/050941	33306894	kraken_pipeline:run_kraken2 (74)	COMPLETED	0	2024-04-16 14:31:45.214	3m 5s	45.9s	146.3%	381.2 MB	478.4 MB	1.5 GB	407.3 MB
157	0c/93b2af	33306895	kraken_pipeline:run_kraken2 (75)	COMPLETED	0	2024-04-16 14:31:50.221	3m	44.1s	142.4%	424.6 MB	437.9 MB	1.5 GB	414.2 MB
154	4a/bc5fbe	33306889	kraken_pipeline:run_kraken2 (72)	COMPLETED	0	2024-04-16 14:31:07.600	4m 7s	1m 10s	150.3%	381.7 MB	501 MB	2.3 GB	602.2 MB
137	0d/c3898d	33306870	kraken_pipeline:run_kraken2 (55)	COMPLETED	0	2024-04-16 14:30:46.994	4m 43s	1m 29s	134.0%	523.5 MB	560.2 MB	2.7 GB	665.3 MB
152	12/4e4cd8	33306886	kraken_pipeline:run_kraken2 (70)	COMPLETED	0	2024-04-16 14:31:05.417	4m 40s	1m 40s	131.0%	524.6 MB	566.1 MB	3.2 GB	893.6 MB
179	cf/f6fe94	33306919	kraken_pipeline:run_bracken (22)	COMPLETED	0	2024-04-16 14:32:10.704	4m 29s	36.6s	98.4%	426 MB	4.4 GB	482.6 MB	700 KB
182	b7/9f82da	33306923	kraken_pipeline:run_bracken (25)	COMPLETED	0	2024-04-16 14:32:15.357	4m 25s	36.4s	98.4%	426.6 MB	4.4 GB	482.7 MB	698.3 KB
162	08/5751f1	33306902	kraken_pipeline:run_bracken (5)	COMPLETED	0	2024-04-16 14:32:05.858	4m 39s	38.2s	90.7%	662 MB	4.4 GB	482.5 MB	556.1 KB
168	03/b9cacd	33306908	kraken_pipeline:run_bracken (11)	COMPLETED	0	2024-04-16 14:32:06.534	4m 39s	37.8s	96.0%	734.1 MB	4.4 GB	482.4 MB	491 KB
169	41/e3dc25	33306909	kraken_pipeline:run_bracken (12)	COMPLETED	0	2024-04-16 14:32:06.634	4m 38s	38.3s	93.9%	681.7 MB	4.4 GB	482.4 MB	481.1 KB
171	9e/49f048	33306911	kraken_pipeline:run_bracken (14)	COMPLETED	0	2024-04-16 14:32:06.814	4m 38s	36.8s	97.5%	424.3 MB	4.4 GB	482.5 MB	569.2 KB
172	d7/7abd1e	33306912	kraken_pipeline:run_bracken (15)	COMPLETED	0	2024-04-16 14:32:06.896	4m 38s	37.1s	97.6%	424.5 MB	4.4 GB	482.5 MB	582.9 KB
173	f0/8e197b	33306913	kraken_pipeline:run_bracken (16)	COMPLETED	0	2024-04-16 14:32:06.975	4m 38s	37.2s	97.9%	688.2 MB	4.4 GB	482.6 MB	674.1 KB
174	a5/88efdd	33306914	kraken_pipeline:run_bracken (17)	COMPLETED	0	2024-04-16 14:32:07.072	4m 38s	36.8s	98.0%	429.6 MB	4.4 GB	482.3 MB	393.6 KB
175	e1/25f7ab	33306915	kraken_pipeline:run_bracken (18)	COMPLETED	0	2024-04-16 14:32:10.239	4m 35s	37.1s	97.5%	430.8 MB	4.4 GB	483.5 MB	1.5 MB
176	d6/3e736e	33306916	kraken_pipeline:run_bracken (19)	COMPLETED	0	2024-04-16 14:32:10.335	4m 35s	36.8s	98.0%	423.8 MB	4.4 GB	482.7 MB	769.3 KB
177	fd/191621	33306917	kraken_pipeline:run_bracken (20)	COMPLETED	0	2024-04-16 14:32:10.422	4m 35s	37.7s	97.0%	674.2 MB	4.4 GB	484 MB	2 MB
178	13/331e61	33306918	kraken_pipeline:run_bracken (21)	COMPLETED	0	2024-04-16 14:32:10.589	4m 35s	36.9s	97.5%	426.6 MB	4.4 GB	482.7 MB	777.7 KB
180	11/b0aa05	33306921	kraken_pipeline:run_bracken (23)	COMPLETED	0	2024-04-16 14:32:15.187	4m 30s	37.1s	98.0%	425.5 MB	4.4 GB	483.8 MB	1.8 MB
181	06/ef9fb2	33306922	kraken_pipeline:run_bracken (24)	COMPLETED	0	2024-04-16 14:32:15.277	4m 30s	36.6s	98.5%	424.5 MB	4.4 GB	482.5 MB	580.2 KB
183	b4/0daf70	33306924	kraken_pipeline:run_bracken (26)	COMPLETED	0	2024-04-16 14:32:25.277	4m 20s	37.4s	97.0%	758.5 MB	4.4 GB	485 MB	3 MB
184	69/1f7f3f	33306925	kraken_pipeline:run_bracken (27)	COMPLETED	0	2024-04-16 14:32:25.421	4m 20s	37.8s	96.2%	748.5 MB	4.4 GB	485.5 MB	3.5 MB
185	0c/0607b4	33306926	kraken_pipeline:run_bracken (28)	COMPLETED	0	2024-04-16 14:32:25.515	4m 20s	37.5s	96.5%	766.9 MB	4.4 GB	485.1 MB	3.1 MB
186	d1/0f202a	33306927	kraken_pipeline:run_bracken (29)	COMPLETED	0	2024-04-16 14:32:25.594	4m 20s	37.7s	96.6%	756.2 MB	4.4 GB	485.4 MB	3.3 MB
187	ff/29a23a	33306928	kraken_pipeline:run_bracken (30)	COMPLETED	0	2024-04-16 14:32:30.230	4m 15s	37.7s	96.6%	738 MB	4.4 GB	485.3 MB	3.3 MB
188	3f/5c0a49	33306929	kraken_pipeline:run_bracken (31)	COMPLETED	0	2024-04-16 14:32:35.164	4m 10s	37.4s	96.5%	767 MB	4.4 GB	485.1 MB	3 MB
189	26/827cab	33306930	kraken_pipeline:run_bracken (32)	COMPLETED	0	2024-04-16 14:32:35.258	4m 10s	37.2s	97.3%	425.9 MB	4.4 GB	484.6 MB	2.6 MB
190	4f/493a47	33306931	kraken_pipeline:run_bracken (33)	COMPLETED	0	2024-04-16 14:32:40.236	4m 5s	37.6s	95.8%	424.9 MB	4.4 GB	486 MB	3.9 MB
195	37/29e31d	33306937	kraken_pipeline:run_bracken (38)	COMPLETED	0	2024-04-16 14:33:05.162	3m 40s	38.2s	94.9%	722 MB	4.4 GB	485.5 MB	3.4 MB
196	f1/788cb9	33306963	kraken_pipeline:run_bracken (39)	COMPLETED	0	2024-04-16 14:34:05.295	2m 40s	37.9s	95.0%	678.7 MB	4.4 GB	482.4 MB	444.1 KB
198	de/705060	33306964	kraken_pipeline:run_bracken (41)	COMPLETED	0	2024-04-16 14:34:05.386	2m 40s	38s	95.2%	703.9 MB	4.4 GB	482.4 MB	458.3 KB
